file	line	evidence	classification	resolution	owner_phase
src/agent.rs	171	// Windows absolute: drive letter (C:\), UNC (\\), or env var (%APPDATA%\)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	633	let legacy_ca_path = crate::certs::certs_dir().join("ca.pem");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	639	crate::certs::Cert::load(&legacy_ca_path, &crate::certs::certs_dir().join("ca.key"))	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	1716	"nohup {quoted_path} --agent --agent-host 0.0.0.0 --agent-port {REMOTE_AGENT_DEFAULT_PORT} > ~/.config/llama-monitor/agent.log 2>&1 &"	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1731	install_path.replace("%APPDATA%", &appdata)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1809	/// Resolves `%APPDATA%` to its actual expanded path on the remote Windows host.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1813	/// expansion may resolve `%APPDATA%` to a system profile path instead of the	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1822	"powershell.exe -NoProfile -NonInteractive -Command \"$env:APPDATA\"".to_string(),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1838	remote_ssh::exec(connection.clone(), "cmd.exe /C echo %APPDATA%".to_string()),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1872	// approach used to resolve %APPDATA%).	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	1987	&crate::certs::certs_dir().join("ca.pem"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	1988	&crate::certs::certs_dir().join("ca.key"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	2058	&crate::certs::certs_dir().join("ca.pem"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	2059	&crate::certs::certs_dir().join("ca.key"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	2091	RemoteOs::Unix | RemoteOs::Macos => "cat ~/.config/llama-monitor/certs/ca.pem".to_string(),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2197	&crate::certs::certs_dir().join("ca.pem"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	2198	&crate::certs::certs_dir().join("ca.key"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/agent.rs	2313	RemoteOs::Windows => Some("%APPDATA%\\local-llm-foundry\\bin\\local-llm-foundry.exe"),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2487	RemoteOs::Unix | RemoteOs::Macos => "cat ~/.config/llama-monitor/agent-token".to_string(),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2560	// Resolve %APPDATA% to an actual path so SCP can use it.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2563	install_dir.replace("%APPDATA%", &appdata)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2628	// Resolve %APPDATA% to a real path before using it as an SCP destination —	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2632	eprintln!("[agent] Resolved %APPDATA% → {appdata} for CA SCP path");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2633	install_dir.replace("%APPDATA%", &appdata)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2636	"[agent] Could not resolve %APPDATA%; SCP may fail if path contains env vars"	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2648	// so the mkdir works regardless of whether %APPDATA% is set in the SSH session env.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2729	// Resolve %APPDATA% before using as SCP destination.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2732	install_dir.replace("%APPDATA%", &appdata)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2802	// Resolve %APPDATA% before using as SCP destination.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	2805	install_dir.replace("%APPDATA%", &appdata)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	3126	// (Path API doesn't handle Windows env vars like %APPDATA%)	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	4395	"~/.config/llama-monitor/bin/llama-monitor", // default Unix/macOS path	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/agent.rs	4407	r#"%APPDATA%\llama-monitor\bin\llama-monitor.exe"#, // default Windows path	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/app_migration.rs	1080	anyhow::anyhow!("migration preview is stale for /Users/example/.config/llama-monitor");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/certs.rs	22	pub fn certs_dir() -> PathBuf {	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	23	certs_dir_for(&AppPaths::default_active_root())	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	61	let dir = certs_dir().join("cas");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	72	let dir = certs_dir().join("remote-cas");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	132	let dir = certs_dir();	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	314	let dir = certs_dir();	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	347	let dir = certs_dir();	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/certs.rs	399	let dir = certs_dir();	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/config.rs	575	certs_dir: app_paths.certs_dir(),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/hf/mod.rs	2134	let path = crate::paths::AppPaths::default_active_root().join("hf-token");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/hf/mod.rs	2143	let dir = crate::paths::AppPaths::default_active_root();	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/inference/rapid_mlx/model_resolver.rs	1769	crate::paths::AppPaths::default_active_root()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/inference/rapid_mlx/sidecar_inventory.rs	4	//! `~/.config/llama-monitor/models/rapid-mlx/mtp-sidecars/<slug>/`, each containing	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/inference/rapid_mlx/sidecar_inventory.rs	82	.unwrap_or_else(|| crate::paths::AppPaths::default_active_root().join(SIDECAR_SUBDIR))	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/inference/rapid_mlx/spec_decode_store.rs	383	crate::paths::AppPaths::default_active_root()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/llama/gguf_meta.rs	1481	.join(".config/llama-monitor/models/Pantheon-Reasoning-27B.i1-Q6_K.gguf")	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
