literal	file	line	platform	ownership	new_value	compatibility	owner_phase
path-consumer	.github/ISSUE_TEMPLATE/bug_report.yml	24	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/ISSUE_TEMPLATE/feature_request.yml	16	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
~/.config/llama-monitor/,	.github/codeql/codeql-config.yml	12	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/release-please/config.json5	89	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	26	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	68	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	90	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	125	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	154	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	165	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	172	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	201	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	202	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	207	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	222	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	223	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	249	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	261	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	286	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	300	windows	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	330	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/ci.yml	343	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release-please.yml	18	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release.yml	27	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release.yml	33	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release.yml	35	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release.yml	37	windows	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release.yml	39	macos	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
path-consumer	.github/workflows/release.yml	46	unix-cross-platform	application	AppPaths/local-llm-foundry	legacy value retained where compatibility requires	2,4,5,6,7,9,11,12
