key	producer	consumer	storage	migration
csp-collapsed	docs/archive/chat/20260510-chat-system-evolution.md,static/css/chat.css,static/index.html,static/js/features/chat-search.js,static/js/features/chat-sessions-sidebar.js,tests/ui/capture/scenarios/core/sidebar.mjs	docs/archive/chat/20260510-chat-system-evolution.md,static/css/chat.css,static/index.html,static/js/features/chat-search.js,static/js/features/chat-sessions-sidebar.js,tests/ui/capture/scenarios/core/sidebar.mjs	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-chat-font	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-params.js,static/js/features/settings.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-params.js,static/js/features/settings.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-chat-style	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,docs/reference/chat.md,static/js/features/chat-params.js,static/js/features/settings.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,docs/reference/chat.md,static/js/features/chat-params.js,static/js/features/settings.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-chat-telemetry-pinned	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-params.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-params.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-date-format	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-render.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-render.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-enter-to-send	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-params.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-params.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-gpu-viz	docs/archive/ui-ux/20260424-gpu-system-modernization.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-render.js	docs/archive/ui-ux/20260424-gpu-system-modernization.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-render.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-group-by-family	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-last-endpoint	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/ui-ux/20260520-remote_first_ui_ux_roadmap.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/attach-detach.js,static/js/features/setup-view.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/ui-ux/20260520-remote_first_ui_ux_roadmap.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/attach-detach.js,static/js/features/setup-view.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-last-session	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/ui-ux/20260424-setup_and_monitor_welcome_view.md,docs/archive/ui-ux/20260520-remote_first_ui_ux_roadmap.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/ui-ux/20260424-setup_and_monitor_welcome_view.md,docs/archive/ui-ux/20260520-remote_first_ui_ux_roadmap.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	localStorage	preserve exact key through 2.x; do not silently rename
